"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Osumat"
"12.5.2026 klo 09.11","kannus","korkea","130","Ohjat­tu lii­kun­ta","https://kannus.fi/vapaa-aika/liikunta/ajankohtaista/ohjattu-liikunta/","https://kannus.fi/","200","ohjattu liikunta; liikuntapalvelut"
"12.5.2026 klo 09.11","karijoki","matala","50","Elintapaohjaus ja liikuntaneuvonta","https://karijoki.fi/vapaa-aika-ja-matkailu/elintapaohjaus-ja-liikuntaneuvonta/","https://karijoki.fi/","200","liikuntaneuvonta; liikunta ja ulkoilu"
"12.5.2026 klo 09.11","karkkila","korkea","280","Ohjattu liikunta","https://karkkila.fi/kulttuuri-vapaa-aika/liikunta/ohjattu-liikunta/","https://www.karkkila.fi/","200","ohjattu liikunta; liikuntaryhm; senioriliikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","karstula","keskitaso","75","Liikuntaneuvonta","https://karstula.fi/vapaa-aika-ja-matkailu/liikunta-ja-ulkoilu/liikuntaneuvonta/","https://karstula.fi/","200","liikuntaneuvonta; liikunta ja ulkoilu; senior"
"12.5.2026 klo 09.11","karvia","matala","40","Liikuntaneuvonta","https://karvia.fi/palvelut/vapaa-aika/liikuntaneuvonta/","https://karvia.fi/","200","liikuntaneuvonta"
"12.5.2026 klo 09.11","kaskinen","ei löytynyt","0","","","https://kaskinen.fi/","200",""
"12.5.2026 klo 09.11","kauhajoki","korkea","360","Ohjattu liikunta","https://kauhajoki.fi/hyvinvointi-ja-vapaa-aika/liikuntapalvelut/ohjattu-liikunta/","https://kauhajoki.fi/","200","ohjattu liikunta; liikuntaryhm; vesijumppa; jumppa; erityisliikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","kauhava","ei löytynyt","20","","","https://www.kauhava.fi","200",""
"12.5.2026 klo 09.11","kauniainen","keskitaso","70","Ohjattu liikunta","https://www.kauniainen.fi/kulttuuri-ja-vapaa-aika/liikunta/ohjattu-liikunta/","https://www.kauniainen.fi/","200","ohjattu liikunta; liikuntapalvelut"
"12.5.2026 klo 09.11","kaustinen","korkea","190","Määräaikainen erityisliikuntakortti käyttöön Kaustisen kunnassa","https://kaustinen.fi/ajankohtaista/erityisliikuntakortti-kayttoon-kaustisen-kunnassa/","https://kaustinen.fi/","200","vesijumppa; jumppa; erityisliikunta; liikuntaneuvonta"
"12.5.2026 klo 09.11","keitele","ei löytynyt","20","","","https://www.keitele.fi/","200",""
"12.5.2026 klo 09.11","kemi","korkea","440","Liikuntaneuvonta ja ohjatut liikuntaryhmät","https://www.kemi.fi/vapaa-aika-ja-kulttuuri/liikunta-ja-luonto/liikuntaneuvonta-ja-ohjatut-liikuntaryhmat/","https://www.kemi.fi/","200","ohjatut liikuntaryhm; liikuntaryhm; tuolijumppa; vesijumppa; jumppa; soveltava liikunta; liikuntaneuvonta; liikuntapalvelut; senior"
